Order ID,Order Date,Ship Date,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Customer Name,Segment
OD-2019000,2022-08-02,2022-08-03,West,Furniture,Chairs & Tables,Bookcase,5308.5,4,0.1,877.89,Customer 115,Consumer
OD-2019001,2023-02-17,2023-02-18,East,Office Supplies,Stationery,Paper Reams,4043.65,3,0.1,955.03,Customer 217,Consumer
OD-2019002,2019-03-03,2019-03-04,Central,Furniture,Chairs & Tables,Wooden Desk,164.16,5,0.25,6.18,Customer 14,Home Office
OD-2019003,2020-02-12,2020-02-18,North,Office Supplies,Stationery,Paper Reams,429.4,4,0.1,20.14,Customer 113,Corporate
OD-2019004,2022-04-21,2022-04-24,North,Furniture,Chairs & Tables,Wooden Desk,21.1,1,0.05,1.28,Customer 175,Corporate
OD-2019005,2019-11-15,2019-11-17,East,Technology,Gadgets,iPhone 13,205.3,4,0.3,27.31,Customer 195,Consumer
OD-2019006,2021-01-05,2021-01-12,South,Technology,Gadgets,Bluetooth Headset,271.52,5,0.05,13.92,Customer 23,Home Office
OD-2019007,2021-07-29,2021-08-03,East,Furniture,Chairs & Tables,Filing Cabinet,30.81,1,0.0,3.67,Customer 283,Corporate
OD-2019008,2023-08-26,2023-09-01,Central,Office Supplies,Stationery,Stapler,857.6,4,0.15,74.36,Customer 99,Home Office
OD-2019009,2019-05-23,2019-05-24,South,Office Supplies,Stationery,Pen Set,73.98,1,0.15,11.16,Customer 41,Consumer
OD-2019010,2023-11-10,2023-11-11,North,Technology,Gadgets,Laptop Pro 15,148.05,2,0.25,31.37,Customer 187,Consumer
OD-2019011,2021-01-28,2021-01-31,East,Furniture,Chairs & Tables,Bookcase,1806.34,2,0.1,530.89,Customer 88,Home Office
OD-2019012,2023-02-02,2023-02-04,North,Furniture,Chairs & Tables,Filing Cabinet,2284.47,4,0.15,532.43,Customer 139,Home Office
OD-2019013,2022-11-10,2022-11-15,East,Furniture,Chairs & Tables,Bookcase,1532.03,5,0.0,326.03,Customer 118,Consumer
OD-2019014,2023-07-07,2023-07-10,East,Technology,Gadgets,Laptop Pro 15,19.06,1,0.05,3.05,Customer 109,Home Office
OD-2019015,2023-11-30,2023-12-06,North,Technology,Gadgets,Samsung Galaxy S21,163.71,3,0.1,41.46,Customer 203,Home Office
OD-2019016,2021-07-28,2021-07-30,West,Technology,Gadgets,Samsung Galaxy S21,4086.77,5,0.0,1262.53,Customer 288,Home Office
OD-2019017,2020-06-22,2020-06-28,Central,Office Supplies,Stationery,Markers,116.29,4,0.05,27.69,Customer 205,Corporate
OD-2019018,2020-03-25,2020-03-27,East,Office Supplies,Stationery,Markers,267.06,5,0.0,58.32,Customer 25,Consumer
OD-2019019,2019-11-10,2019-11-16,Central,Furniture,Chairs & Tables,Filing Cabinet,343.3,3,0.15,77.77,Customer 33,Corporate
OD-2019020,2021-02-20,2021-02-25,South,Technology,Gadgets,Bluetooth Headset,1638.2,3,0.0,297.83,Customer 284,Consumer
OD-2019021,2022-10-25,2022-10-31,South,Furniture,Chairs & Tables,Office Table,627.04,3,0.1,145.97,Customer 175,Consumer
OD-2019022,2020-08-24,2020-08-28,East,Furniture,Chairs & Tables,Filing Cabinet,1070.88,5,0.05,112.84,Customer 135,Home Office
OD-2019023,2023-04-10,2023-04-12,South,Office Supplies,Stationery,Notebook Pack,1007.95,5,0.0,331.52,Customer 260,Home Office
OD-2019024,2020-02-12,2020-02-14,Central,Technology,Gadgets,Samsung Galaxy S21,2427.75,5,0.05,266.46,Customer 272,Consumer
OD-2019025,2022-05-11,2022-05-14,East,Technology,Gadgets,iPhone 13,4871.37,4,0.0,764.27,Customer 186,Corporate
OD-2019026,2020-05-05,2020-05-06,East,Furniture,Chairs & Tables,Office Table,19.91,1,0.05,5.59,Customer 44,Home Office
OD-2019027,2021-09-22,2021-09-29,West,Furniture,Chairs & Tables,Office Table,47.57,1,0.05,7.92,Customer 66,Home Office
OD-2019028,2021-08-31,2021-09-05,Central,Furniture,Chairs & Tables,Bookcase,97.4,5,0.0,32.42,Customer 217,Consumer
OD-2019029,2022-01-09,2022-01-16,South,Office Supplies,Stationery,Pen Set,76.7,1,0.3,18.19,Customer 205,Home Office
OD-2019030,2022-08-23,2022-08-26,North,Technology,Gadgets,Bluetooth Headset,101.02,2,0.0,6.17,Customer 62,Consumer
OD-2019031,2020-04-05,2020-04-06,Central,Technology,Gadgets,iPhone 13,31.52,1,0.0,4.21,Customer 284,Consumer
OD-2019032,2022-04-20,2022-04-22,East,Furniture,Chairs & Tables,Office Chair,19.96,1,0.0,3.93,Customer 118,Consumer
OD-2019033,2019-03-06,2019-03-13,Central,Technology,Gadgets,iPhone 13,881.86,4,0.0,236.75,Customer 122,Corporate
OD-2019034,2022-10-02,2022-10-06,West,Furniture,Chairs & Tables,Office Table,430.01,5,0.05,120.48,Customer 293,Home Office
OD-2019035,2021-08-26,2021-08-28,West,Technology,Gadgets,Wireless Mouse,507.08,1,0.0,31.56,Customer 49,Consumer
OD-2019036,2022-09-11,2022-09-15,North,Technology,Gadgets,Wireless Mouse,4771.43,4,0.1,1257.58,Customer 240,Home Office
OD-2019037,2019-04-21,2019-04-27,East,Office Supplies,Stationery,Notebook Pack,787.9,4,0.1,117.73,Customer 207,Home Office
OD-2019038,2020-11-25,2020-12-02,West,Furniture,Chairs & Tables,Wooden Desk,586.5,2,0.0,49.29,Customer 98,Home Office
OD-2019039,2021-07-07,2021-07-09,South,Technology,Gadgets,Samsung Galaxy S21,99.57,2,0.0,34.32,Customer 237,Consumer
OD-2019040,2023-11-26,2023-11-27,East,Technology,Gadgets,Bluetooth Headset,79.87,4,0.0,25.49,Customer 26,Home Office
OD-2019041,2022-01-12,2022-01-19,West,Furniture,Chairs & Tables,Office Chair,5926.45,5,0.0,1541.51,Customer 86,Corporate
OD-2019042,2021-09-21,2021-09-25,East,Furniture,Chairs & Tables,Filing Cabinet,253.67,3,0.15,52.31,Customer 85,Corporate
OD-2019043,2019-01-05,2019-01-09,South,Technology,Gadgets,Wireless Mouse,58.94,3,0.2,10.94,Customer 217,Home Office
OD-2019044,2023-02-05,2023-02-12,West,Office Supplies,Stationery,Markers,1624.05,3,0.0,159.55,Customer 98,Corporate
OD-2019045,2020-03-21,2020-03-22,East,Office Supplies,Stationery,Paper Reams,65.3,2,0.1,6.89,Customer 161,Consumer
OD-2019046,2019-04-13,2019-04-18,Central,Technology,Gadgets,Bluetooth Headset,74.81,1,0.0,20.49,Customer 81,Consumer
OD-2019047,2021-11-06,2021-11-07,Central,Furniture,Chairs & Tables,Office Chair,60.7,3,0.05,11.69,Customer 35,Home Office
OD-2019048,2023-11-01,2023-11-03,Central,Technology,Gadgets,iPhone 13,282.1,5,0.1,73.23,Customer 127,Home Office
OD-2019049,2022-05-02,2022-05-03,North,Office Supplies,Stationery,Notebook Pack,19.78,1,0.1,2.39,Customer 299,Home Office
OD-2019050,2021-12-06,2021-12-09,South,Technology,Gadgets,Samsung Galaxy S21,57.52,3,0.3,7.69,Customer 123,Corporate
OD-2019051,2021-03-21,2021-03-23,North,Office Supplies,Stationery,Stapler,768.02,5,0.0,252.29,Customer 162,Consumer
OD-2019052,2019-01-20,2019-01-24,East,Office Supplies,Stationery,Paper Reams,106.45,1,0.3,5.41,Customer 38,Home Office
OD-2019053,2020-03-12,2020-03-17,South,Technology,Gadgets,Samsung Galaxy S21,494.09,5,0.0,96.64,Customer 36,Consumer
OD-2019054,2021-01-26,2021-01-29,Central,Furniture,Chairs & Tables,Filing Cabinet,1028.94,2,0.15,287.75,Customer 155,Home Office
OD-2019055,2023-07-11,2023-07-17,Central,Office Supplies,Stationery,Notebook Pack,306.52,2,0.0,42.48,Customer 154,Home Office
OD-2019056,2019-08-01,2019-08-03,East,Technology,Gadgets,iPhone 13,44.79,2,0.0,11.77,Customer 284,Consumer
OD-2019057,2020-07-11,2020-07-14,South,Office Supplies,Stationery,Pen Set,4447.49,5,0.15,1172.37,Customer 105,Home Office
OD-2019058,2022-07-22,2022-07-29,North,Technology,Gadgets,Bluetooth Headset,3804.15,5,0.1,370.73,Customer 129,Consumer
OD-2019059,2019-07-09,2019-07-15,East,Technology,Gadgets,Laptop Pro 15,203.52,4,0.05,15.12,Customer 2,Corporate
OD-2019060,2023-04-29,2023-05-01,West,Office Supplies,Stationery,Stapler,1471.51,3,0.3,310.75,Customer 227,Home Office
OD-2019061,2022-12-16,2022-12-20,East,Office Supplies,Stationery,Notebook Pack,300.02,2,0.0,42.3,Customer 39,Home Office
OD-2019062,2019-11-02,2019-11-07,Central,Furniture,Chairs & Tables,Bookcase,316.33,3,0.15,30.85,Customer 283,Consumer
OD-2019063,2021-05-30,2021-06-01,South,Furniture,Chairs & Tables,Bookcase,967.07,5,0.0,202.51,Customer 21,Corporate
OD-2019064,2020-03-06,2020-03-12,South,Furniture,Chairs & Tables,Office Chair,586.6,3,0.0,199.95,Customer 287,Corporate
OD-2019065,2022-06-25,2022-07-01,West,Furniture,Chairs & Tables,Wooden Desk,110.9,2,0.0,20.15,Customer 91,Corporate
OD-2019066,2019-02-20,2019-02-22,North,Office Supplies,Stationery,Stapler,197.37,2,0.0,35.23,Customer 128,Corporate
OD-2019067,2019-11-23,2019-11-30,North,Office Supplies,Stationery,Notebook Pack,384.66,4,0.2,56.22,Customer 20,Corporate
OD-2019068,2020-03-31,2020-04-02,South,Technology,Gadgets,Laptop Pro 15,341.08,1,0.1,62.93,Customer 117,Consumer
OD-2019069,2019-02-18,2019-02-24,South,Furniture,Chairs & Tables,Filing Cabinet,822.01,5,0.0,180.69,Customer 143,Consumer
OD-2019070,2023-05-03,2023-05-06,North,Technology,Gadgets,Bluetooth Headset,292.21,3,0.0,22.66,Customer 275,Corporate
OD-2019071,2019-02-26,2019-02-27,Central,Technology,Gadgets,Samsung Galaxy S21,73.88,1,0.0,20.61,Customer 136,Consumer
OD-2019072,2019-08-11,2019-08-16,South,Technology,Gadgets,Laptop Pro 15,1019.26,5,0.05,237.17,Customer 224,Home Office
OD-2019073,2021-11-13,2021-11-14,West,Technology,Gadgets,Bluetooth Headset,1823.73,2,0.2,187.14,Customer 131,Consumer
OD-2019074,2022-12-22,2022-12-26,Central,Furniture,Chairs & Tables,Office Table,1818.7,2,0.05,365.96,Customer 101,Corporate
OD-2019075,2021-06-02,2021-06-03,Central,Office Supplies,Stationery,Stapler,402.44,5,0.25,100.59,Customer 161,Home Office
OD-2019076,2023-10-03,2023-10-04,Central,Office Supplies,Stationery,Stapler,5328.91,4,0.1,1064.76,Customer 159,Home Office
OD-2019077,2021-04-16,2021-04-19,Central,Technology,Gadgets,Laptop Pro 15,22.24,1,0.15,4.5,Customer 66,Consumer
OD-2019078,2021-05-11,2021-05-17,Central,Technology,Gadgets,Samsung Galaxy S21,21.61,1,0.0,2.86,Customer 292,Corporate
OD-2019079,2021-04-11,2021-04-16,South,Furniture,Chairs & Tables,Bookcase,114.94,4,0.1,15.62,Customer 108,Corporate
